Timestamp,X,Y,Z
22-May-2021 11:42:57.102,10.559999,-21.42,-46.02
22-May-2021 11:42:57.117,11.04,-21.6,-45.239998
22-May-2021 11:42:57.132,10.92,-21.48,-45.66
22-May-2021 11:42:57.147,10.74,-21.299999,-46.32
22-May-2021 11:42:57.162,10.92,-21.66,-46.259998
22-May-2021 11:42:57.177,10.559999,-21.24,-46.860001
22-May-2021 11:42:57.192,11.04,-21.42,-46.5
22-May-2021 11:42:57.207,11.52,-21.719999,-46.32
22-May-2021 11:42:57.222,12.3,-22.32,-46.139999
22-May-2021 11:42:57.237,12.54,-22.68,-45.899998
22-May-2021 11:42:57.252,12.84,-22.859999,-45.419998
22-May-2021 11:42:57.267,12.9,-22.98,-45.48
22-May-2021 11:42:57.282,12.54,-22.92,-45.959999
22-May-2021 11:42:57.297,13.38,-23.699999,-46.68
22-May-2021 11:42:57.312,13.2,-24.42,-48.059998
22-May-2021 11:42:57.327,13.799999,-24.9,-48.719997
22-May-2021 11:42:57.342,14.28,-25.32,-49.139999
22-May-2021 11:42:57.357,14.58,-24.959999,-49.860001
22-May-2021 11:42:57.372,14.88,-25.08,-49.32
22-May-2021 11:42:57.387,15.12,-24.779999,-49.439999
22-May-2021 11:42:57.402,15.36,-24.24,-49.139999
22-May-2021 11:42:57.417,15,-24.48,-48.959999
22-May-2021 11:42:57.432,15.179999,-24.6,-49.799999
22-May-2021 11:42:57.447,15.12,-24.66,-49.559998
22-May-2021 11:42:57.462,15.299999,-25.019999,-50.039997
22-May-2021 11:42:57.477,15.78,-25.019999,-49.860001
22-May-2021 11:42:57.492,15.96,-24.6,-49.739998
22-May-2021 11:42:57.507,16.379999,-24.84,-50.16
22-May-2021 11:42:57.522,16.440001,-25.08,-50.459999
22-May-2021 11:42:57.537,16.02,-24.84,-50.399998
22-May-2021 11:42:57.552,15.719999,-25.139999,-49.860001
22-May-2021 11:42:57.567,15.12,-24.959999,-49.68
22-May-2021 11:42:57.582,14.28,-24.42,-49.079998
22-May-2021 11:42:57.597,14.16,-24.359999,-49.559998
22-May-2021 11:42:57.612,13.44,-23.82,-49.799999
22-May-2021 11:42:57.627,12.54,-23.82,-49.68
22-May-2021 11:42:57.642,11.94,-24.119999,-49.739998
22-May-2021 11:42:57.657,11.04,-24.18,-49.799999
22-May-2021 11:42:57.672,10.44,-23.699999,-49.919998
22-May-2021 11:42:57.687,9.78,-23.4,-50.099998
22-May-2021 11:42:57.702,9,-22.439999,-49.799999
22-May-2021 11:42:57.717,7.8,-22.199999,-49.379997
22-May-2021 11:42:57.732,6.78,-22.379999,-49.259998
22-May-2021 11:42:57.747,6,-21.539999,-49.02
22-May-2021 11:42:57.762,4.68,-20.939999,-49.139999
22-May-2021 11:42:57.777,4.2,-20.279999,-48.959999
22-May-2021 11:42:57.792,3.12,-19.439999,-48.539997
22-May-2021 11:42:57.807,2.28,-19.139999,-47.939999
22-May-2021 11:42:57.822,1.86,-19.08,-47.879997
22-May-2021 11:42:57.837,1.38,-18.24,-48.119999
22-May-2021 11:42:57.852,1.08,-16.98,-47.939999
22-May-2021 11:42:57.867,-0.18,-16.199999,-48.84
22-May-2021 11:42:57.882,-0.66,-15.24,-48.84
22-May-2021 11:42:57.897,-1.26,-15,-48.66
22-May-2021 11:42:57.912,-1.8,-14.88,-49.379997
22-May-2021 11:42:57.927,-1.86,-14.099999,-48.84
22-May-2021 11:42:57.942,-2.64,-13.559999,-48.779999
22-May-2021 11:42:57.957,-3.84,-12.66,-48.84
22-May-2021 11:42:57.972,-4.56,-11.759999,-48.299999
22-May-2021 11:42:57.987,-5.16,-11.219999,-48.419998
22-May-2021 11:42:58.002,-5.4,-9.9,-48.539997
22-May-2021 11:42:58.017,-5.58,-8.88,-48.360001
22-May-2021 11:42:58.032,-6.3,-8.34,-48.419998
22-May-2021 11:42:58.047,-7.02,-6.96,-48.959999
22-May-2021 11:42:58.062,-8.22,-7.08,-49.139999
22-May-2021 11:42:58.077,-8.88,-7.02,-49.200001
22-May-2021 11:42:58.092,-9.599999,-6.42,-49.860001
22-May-2021 11:42:58.107,-10.32,-7.02,-49.799999
22-May-2021 11:42:58.122,-10.679999,-6,-50.16
22-May-2021 11:42:58.242,-12.599999,1.98,-50.459999
22-May-2021 11:42:58.257,-12.719999,2.58,-49.860001
22-May-2021 11:42:58.272,-12.9,3.36,-49.860001
22-May-2021 11:42:58.287,-13.2,4.44,-50.459999
22-May-2021 11:42:58.302,-13.32,5.04,-51.18
22-May-2021 11:42:58.317,-13.559999,6.12,-51.539997
22-May-2021 11:42:58.332,-13.5,6.06,-51.899998
22-May-2021 11:42:58.347,-13.32,7.02,-52.199997
22-May-2021 11:42:58.362,-13.92,7.44,-51.719997
22-May-2021 11:42:58.377,-13.86,7.86,-51.360001
22-May-2021 11:42:58.392,-13.86,8.76,-51.48
22-May-2021 11:42:58.407,-13.86,9,-51.119999
22-May-2021 11:42:58.422,-13.38,10.139999,-50.879997
22-May-2021 11:42:58.437,-13.5,10.679999,-51.059998
22-May-2021 11:42:58.452,-13.559999,11.7,-50.52
22-May-2021 11:42:58.467,-13.5,12.84,-50.759998
22-May-2021 11:42:58.482,-13.86,13.799999,-51.059998
22-May-2021 11:42:58.497,-13.5,14.94,-50.939999
22-May-2021 11:42:58.512,-13.38,15.36,-51.299999
22-May-2021 11:42:58.527,-13.74,15.96,-51.360001
22-May-2021 11:42:58.542,-13.5,16.98,-51.48
22-May-2021 11:42:58.557,-13.86,17.639999,-51.779999
22-May-2021 11:42:58.572,-13.44,18.539999,-51.959999
22-May-2021 11:42:58.587,-13.08,19.5,-51.719997
22-May-2021 11:42:58.602,-12.599999,20.4,-51.899998
22-May-2021 11:42:58.617,-12,21.359999,-51.719997
22-May-2021 11:42:58.632,-11.759999,22.619999,-51.419998
22-May-2021 11:42:58.647,-11.94,23.279999,-51.539997
22-May-2021 11:42:58.662,-11.82,24.359999,-51.779999
22-May-2021 11:42:58.677,-11.759999,24.959999,-52.02
22-May-2021 11:42:58.692,-11.58,26.16,-52.259998
22-May-2021 11:42:58.707,-10.98,26.699999,-52.139999
22-May-2021 11:42:58.721,-10.38,27.299999,-51.959999
22-May-2021 11:42:58.737,-9.719999,28.439999,-52.139999
22-May-2021 11:42:58.752,-9.179999,28.92,-52.139999
22-May-2021 11:42:58.767,-8.76,29.939999,-52.559998
22-May-2021 11:42:58.782,-8.4,30.719999,-52.619999
22-May-2021 11:42:58.797,-7.8,31.619999,-52.68
22-May-2021 11:42:58.812,-7.74,32.279999,-53.34
22-May-2021 11:42:58.827,-7.38,33.239998,-53.579998
22-May-2021 11:42:58.842,-6.9,33.84,-53.82
22-May-2021 11:42:58.857,-6.6,34.32,-53.759998
22-May-2021 11:42:58.872,-6.12,35.399998,-52.919998
22-May-2021 11:42:58.887,-4.86,35.939999,-52.739998
22-May-2021 11:42:58.902,-4.26,36.84,-52.199997
22-May-2021 11:42:58.917,-3.36,37.439999,-52.619999
22-May-2021 11:42:58.932,-2.16,38.219997,-52.68
22-May-2021 11:42:58.947,-2.04,39.059998,-52.5
22-May-2021 11:42:59.111,0.72,41.82,-53.219997
22-May-2021 11:42:59.127,0.96,41.879997,-53.939999
22-May-2021 11:42:59.142,1.38,41.879997,-54.119999
22-May-2021 11:42:59.157,1.32,41.639999,-54.119999
